"SG    ","LSEOPS1                         ","LSEOPRODSTRUCT                  ","CONFQTY                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","PLANRELEVANT                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","COMNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","SEOID                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","BUNDLMKTGDESC                   ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","PRODSTRUCT                      ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","PRODSTRUCT                      ","CONFIGURATORFLAG                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","PRODSTRUCT                      ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","PRODSTRUCT                      ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","ANNDATE                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","APPLICATIONTYPE                 ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","COFCAT                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","COFGRP                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","COFSUBCAT                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","MODEL                           ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WWSEO                           ","SEOID                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","COMNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","GENAREASELECTION                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","WARRTYPE                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","WARR                            ","WARRPERIOD                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","AASVIEWABL                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","ANNCODENAME                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","COMNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","EFFECTIVEDATE                   ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","GENAREASELECTION                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","ORDERSYSNAME                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","AVAILTYPE                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","AVAIL                           ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","CATLGMKTGDESC                   ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","CATPUBLISH                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","FOTPUBLISH                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","INSTALLABLE                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGOR                         ","SAPASSORTMODULE                 ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","COMMENTS                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","DATAQUALITY                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","EDITORNOTE                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","INITORDERMAX                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","INVNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","SAPL                            ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWPRODSTRUCT                    ","SWPRODSTRUCTABRSTATUS           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","INTERNALNAME                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","MACHTYPEATR                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","MODELATR                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","MODMKTGDESC                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","APPLICATIONTYPE                 ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","COFCAT                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","COFGRP                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","COFSUBCAT                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","LID                             ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","MODEL                           ","TYPE                            ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","ANNOUNCEMENT                    ","ANNDATE                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","ANNOUNCEMENT                    ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGPUB                        ","CATACTIVE                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGPUB                        ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGPUB                        ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","CATLGPUB                        ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","PRODSTRUCT                      ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","PRODSTRUCT                      ","CONFIGURATORFLAG                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","PRODSTRUCT                      ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","PRODSTRUCT                      ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","PRODSTRUCT                      ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWFEATURE                       ","SWFCCAT                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWFEATURE                       ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","SWFEATURE                       ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","FEATURE                         ","FCTYPE                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","FEATURE                         ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","FEATURE                         ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LCTOPS1                 ","FEATURE                         ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","ORDERCODE                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","ANNDATE                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","WITHDRAWDATE                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","SYSTEMMAX                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","SYSTEMMIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","CONFIGURATORFLAG                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","PRODSTRUCT                      ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","COMMENTS                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","DATAQUALITY                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","EDITORNOTE                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","INITORDERMAX                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","INVNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","SAPL                            ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","SWPRODSTRUCT                    ","SWPRODSTRUCTABRSTATUS           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","PROJCDNAM                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","MACHTYPEATR                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","MODELATR                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","COFCAT                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","COFSUBCAT                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","COFGRP                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","COFSUBGRP                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","MODELORDERCODE                  ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","SARINDC                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","RATECARDCD                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","MODMKTGDESC                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","SYSIDUNIT                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","UNSPSCCD                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","UNSPSCCDSECONDRY                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","UNSPSCCDUOM                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","UNSPSCCDSECONDRYUOM             ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","APPLICATIONTYPE                 ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","ANNDATE                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","PRCINDC                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","WITHDRAWDATE                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","TMPS1                          ","MODEL                           ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
